Season,CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
2025-26,1642869,Noah Penda,1610612753,ORL,G-F,20.0,14,11,0.31,0.93,1.93,0.481,0.351,0.13
2025-26,1629726,Garrison Mathews,1610612754,IND,G,29.0,12,9,0.338,0.5,1.92,0.261,0.339,-0.078
2025-26,1641763,Julian Phillips,1610612741,CHI,F,22.0,19,15,0.493,0.63,1.89,0.333,0.346,-0.013
2025-26,1631218,Trayce Jackson-Davis,1610612744,GSW,F,25.0,18,13,0.227,0.67,1.89,0.353,0.335,0.018
2025-26,1631255,Karlo Matković,1610612740,NOP,F-C,24.0,19,13,0.31,0.68,1.89,0.361,0.348,0.013
2025-26,1642353,Cam Christie,1610612746,LAC,G,20.0,17,15,0.438,0.65,1.88,0.344,0.357,-0.013
2025-26,1630560,Cam Thomas,1610612751,BKN,G,24.0,8,6,0.242,0.88,1.88,0.467,0.362,0.105
2025-26,1628449,Chris Boucher,1610612738,BOS,F,32.0,8,7,0.306,0.5,1.88,0.267,0.308,-0.041
2025-26,202685,Jonas Valančiūnas,1610612743,DEN,C,33.0,27,21,0.259,0.85,1.85,0.46,0.355,0.105
2025-26,1641871,Duop Reath,1610612757,POR,C,29.0,20,18,0.381,0.7,1.85,0.378,0.354,0.024
2025-26,203486,Mason Plumlee,1610612766,CHA,F-C,35.0,13,9,0.308,0.77,1.85,0.417,0.349,0.068
2025-26,101108,Chris Paul,1610612746,LAC,G,40.0,16,13,0.358,0.56,1.81,0.31,0.342,-0.032
2025-26,1631133,Jabari Walker,1610612755,PHI,F,23.0,26,22,0.379,0.62,1.81,0.34,0.367,-0.026
2025-26,203967,Dario Šarić,1610612758,SAC,F-C,31.0,5,5,0.375,0.4,1.8,0.222,0.308,-0.085
2025-26,1630192,Zeke Nnaji,1610612743,DEN,F-C,24.0,14,10,0.424,0.43,1.79,0.24,0.334,-0.094
2025-26,1630311,Pat Spencer,1610612744,GSW,G,29.0,17,13,0.268,0.65,1.76,0.367,0.351,0.016
2025-26,1630619,Moussa Cisse,1610612742,DAL,C,23.0,17,12,0.286,0.71,1.76,0.4,0.373,0.027
2025-26,1628998,Cody Martin,1610612754,IND,F,30.0,4,3,0.333,0.25,1.75,0.143,0.348,-0.205
2025-26,1642873,Amari Williams,1610612738,BOS,F-C,23.0,4,4,0.389,0.5,1.75,0.286,0.34,-0.054
2025-26,1642352,Keshad Johnson,1610612748,MIA,F,24.0,8,6,0.326,0.75,1.75,0.429,0.371,0.058
2025-26,1642878,Tyrese Proctor,1610612739,CLE,G,21.0,19,17,0.375,0.53,1.74,0.303,0.347,-0.044
2025-26,1630574,Ariel Hukporti,1610612752,NYK,C,23.0,15,11,0.317,0.47,1.73,0.269,0.338,-0.069
2025-26,1642860,Will Riley,1610612764,WAS,F,19.0,18,12,0.388,0.56,1.72,0.323,0.358,-0.035
2025-26,203939,Dwight Powell,1610612742,DAL,F-C,34.0,20,13,0.27,0.55,1.7,0.324,0.353,-0.029
2025-26,1629723,John Konchar,1610612763,MEM,G,29.0,20,16,0.296,0.35,1.7,0.206,0.356,-0.15
2025-26,1631093,Jaden Ivey,1610612765,DET,G,23.0,13,10,0.319,0.54,1.69,0.318,0.405,-0.087
2025-26,1642277,Johnny Furphy,1610612754,IND,G,21.0,9,8,0.333,0.56,1.67,0.333,0.359,-0.026
2025-26,1642484,RayJ Dennis,1610612746,LAC,G,24.0,12,11,0.357,0.75,1.67,0.45,0.342,0.108
2025-26,1631248,Baylor Scheierman,1610612738,BOS,G,25.0,23,18,0.319,0.65,1.65,0.395,0.349,0.046
2025-26,1642864,Hugo González,1610612738,BOS,G,19.0,23,18,0.336,0.7,1.65,0.421,0.369,0.052
